case_id,case_description,source_csv,method_id,item_id,subsystem,function,failure_mode,effect,cause,current_control,recommended_action,responsible_role,s,o,d,rpn,rpn_arithmetic_ok,evidence_trace,direct_source_ids,engineering_inference_source_ids,evidence_support_class,source_basis_summary,requirement_or_evidence_anchor,critic_notes,status,generation_route,field_provenance_summary,supports_claims,does_not_support_claims,recommended_reader_check
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-011,Brake pads,Maintain stable friction coefficient,Pad contamination by oil water or debris,Reduced friction and inconsistent braking,Environmental exposure cleaning residue road debris,Visual inspection,Add contamination warning shielding and replacement instruction,Service technician,7,4,6,168,True,engineering_inference:S02,,S02,engineering-inference support only,S02: UK Department for Transport e-scooter construction standards report,engineering_inference:S02,Evidence indirect but engineering plausible,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-012,Brake pads,Maintain braking under thermal load,Pad fade during repeated braking,Braking force decreases during repeated stops or slope descent,Inadequate compound heat buildup insufficient rotor heat capacity,Material qualification,Define thermal fade test and use higher-temperature pad compound,Designer,8,4,7,224,True,engineering_inference:S02,,S02,engineering-inference support only,S02: UK Department for Transport e-scooter construction standards report,engineering_inference:S02,High-risk item; keep,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-013,Disc rotor,Provide stable friction surface,Rotor warps or has excessive runout,Pulsation vibration and uneven braking,Heat distortion impact insufficient stiffness,Runout inspection,Specify runout limit rotor material and heat treatment control,Designer,6,4,6,144,True,engineering_inference:S02;S03,S03,S02,mixed direct-source and engineering-inference support,S02: UK Department for Transport e-scooter construction standards report | S03: EN 17128:2020 terminology preview,engineering_inference:S02;S03,Specific and measurable,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-014,Disc rotor,Maintain thickness and heat capacity,Rotor wears below minimum thickness,Reduced heat capacity and degraded braking performance,Abrasive debris low hardness delayed replacement,Thickness measurement,Mark minimum thickness and include service gauge instruction,Service technician,7,3,5,105,True,engineering_inference:S02;S03,S03,S02,mixed direct-source and engineering-inference support,S02: UK Department for Transport e-scooter construction standards report | S03: EN 17128:2020 terminology preview,engineering_inference:S02;S03,Keep; different from warpage,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-015,Mounting hardware,Retain caliper and brake components,Caliper bolt loosens or retaining fastener backs out,Caliper shift misalignment or severe braking loss,Vibration insufficient torque no locking feature,Torque audit,Use locking fastener torque stripe and assembly verification,Manufacturer,9,3,7,189,True,S01;engineering_inference:S02,S01,S02,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S02: UK Department for Transport e-scooter construction standards report,S01;engineering_inference:S02,High-risk due to retention loss,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-016,Mounting hardware,Preserve structural support under braking load,Caliper bracket cracks under fatigue,Caliper displacement and reduced braking control,Fatigue overload casting defect sharp corner,Visual inspection,Increase fillet radius safety factor and fatigue analysis,Designer,9,2,8,144,True,engineering_inference:S02,,S02,engineering-inference support only,S02: UK Department for Transport e-scooter construction standards report,engineering_inference:S02,High D because hidden crack may progress,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-017,Wheel-level braking response,Produce predictable deceleration,Brake does not engage when commanded,Excessive stopping distance and collision risk,Cable detachment hydraulic leak seized linkage or severe pad failure,Functional brake test,Add pre-ride check procedure and design-level fail-safe review,Designer,10,2,8,160,True,S01;engineering_inference:S02,S01,S02,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S02: UK Department for Transport e-scooter construction standards report,S01;engineering_inference:S02,General effect row kept as system-level hazard aggregator,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-018,Wheel-level braking response,Produce controllable deceleration,Brake engages too aggressively or unexpectedly,Wheel lock skid and rider fall,Poor modulation sticking mechanism excessive leverage,Functional brake response test,Define modulation acceptance criteria and adjust leverage/friction pairing,Designer,8,3,8,192,True,S01;engineering_inference:S02,S01,S02,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S02: UK Department for Transport e-scooter construction standards report,S01;engineering_inference:S02,Directly tied to excessive engagement scenario,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-001,Brake lever,Convert rider hand input into compatible caliper actuation,Incorrect lever mode or lever-caliper pairing produces unsuitable cable pull,Excessive or insufficient braking force with poor controllability,Mode switch set for wrong brake type or incompatible lever selected,Compatibility table and assembly inspection,Add lever-caliper compatibility checklist and mode-position verification step,Manufacturer,8,3,7,168,True,B4,B4,,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,Specific lever compatibility mechanism grounded in manual; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-002,Brake lever,Provide reachable handbrake control from normal riding position,Lever reach or location prevents timely full handbrake actuation,Delayed braking response and longer stopping distance,Poor lever placement inappropriate reach adjustment or handlebar fit,Pre-delivery ergonomic check,Define lever reach acceptance check for intended rider size range,Designer,6,3,5,90,True,B3;engineering_inference:B4,B3,B4,mixed direct-source and engineering-inference support,B3: 16 CFR 1512.5 bicycle braking-system requirements | B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B3,Lower severity than loss of brake path; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-003,Inner cable,Transmit force without interfering with rotating rotor,Protruding inner cable end contacts the disc brake rotor,Wheel lock and forward fall risk,Cable end left longer than specified or not secured after adjustment,Visual cable-end inspection,Add cable-end length gauge and post-adjustment rotor-clearance check,Service technician,9,2,7,126,True,B4,B4,,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,Direct manual warning translated into DFMEA row; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-004,Cable fixing interface,Retain cable force path under braking load,Cable anchor slips or cable strands are damaged at fixing bolt,Sudden severe reduction or loss of braking force,Insufficient cable fixing torque poor clamp geometry or strand cutting,Torque check and brake lever stroke check,Specify torque marking positive cable retention and strand-damage inspection,Manufacturer,10,3,8,240,True,B3;B4,B3;B4,,direct or close source-translation support,B3: 16 CFR 1512.5 bicycle braking-system requirements | B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B3;B4,High-risk force-path row; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-005,Cable and housing,Maintain stable mechanical force transmission,Cable rust fraying stretch or housing drag reduces transmitted force,Progressive weak braking and increased stopping distance,Environmental corrosion abrasive routing or delayed cable replacement,Visual cable inspection and lever-stroke check,Define replacement interval routing bend limits and full-stroke return test,Service technician,8,4,5,160,True,B4,B4,,direct or close source-translation support,B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B4,Distinct progressive degradation row; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-006,Caliper actuator arm,Convert cable pull into symmetric caliper actuation,Actuator arm over-rotates and dislocates caliper parts,Lack of braking and loss of control,Mechanical stop weakness tolerance stack-up or overload at actuator arm,Functional brake test and actuator travel inspection,Add actuator travel stop verification and failure containment feature,Designer,10,2,8,160,True,B2,B2,,direct or close source-translation support,B2: CPSC Tektro/TRP Spyre mechanical disc brake caliper recall,B2,Direct recall mechanism; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-007,Mechanical caliper,Convert cable input into pad clamping force,Mechanical disc brake caliper fails to clamp pads as commanded,Loss of braking power and crash risk,Internal caliper defect seized mechanism or failed linkage,Pre-ride brake function check and end-of-line test,Add caliper functional proof test supplier quality screen and recall traceability,Manufacturer,10,3,8,240,True,B1;B2,B1;B2,,direct or close source-translation support,B1: CPSC Lectric e-bike mechanical disc brake caliper recall | B2: CPSC Tektro/TRP Spyre mechanical disc brake caliper recall,B1;B2,General caliper failure row grounded in two recalls; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
transfer_bicycle_ebike_mechanical_disc_brake,bicycle/e-bike mechanical disc brake transfer case,second_case_bicycle_disc_brake_v1.0/runs/M4_case2_bicycle_disc_brake_run01.csv,M4,C2-M4-008,Caliper mounting hardware,Maintain caliper position under vibration and braking load,Caliper fixing bolt loosens or snap ring is omitted,Caliper shift rotor rub or severe braking loss,Insufficient torque missing locking device omitted snap ring or vibration loosening,Torque audit and visual snap-ring check,Use locking device torque stripe and mandatory snap-ring verification,Manufacturer,9,3,7,189,True,B3;B4,B3;B4,,direct or close source-translation support,B3: 16 CFR 1512.5 bicycle braking-system requirements | B4: Shimano DM-BR0007-04 mechanical disc brake dealer manual,B3;B4,Maps locking-device and snap-ring evidence; keep,keep,Codex/ChatGPT workflow; author-constructed second transfer case; date=2026-05-27; fixed API seed unavailable,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
